source,bias,factual_reporting,country,media_type,popularity,mbfc_credibility_rating
localmemphis.com,neutral,high,usa,tv station,medium traffic,high credibility
wave3.com,neutral,high,usa,tv station,medium traffic,high credibility
wavy.com,neutral,high,usa,tv station,medium traffic,high credibility
wbaltv.com,neutral,high,usa,tv station,medium traffic,high credibility
wbay.com,neutral,high,usa,tv station,medium traffic,high credibility
wbir.com,neutral,high,usa,tv station,medium traffic,high credibility
wbko.com,neutral,high,usa,tv station,medium traffic,high credibility
wbng.com,neutral,high,usa,tv station,medium traffic,high credibility
10tv.com,neutral,high,usa,website,high traffic,high credibility
wbrc.com,neutral,high,usa,tv station,medium traffic,high credibility
pahomepage.com,neutral,high,usa,tv station,medium traffic,high credibility
wbtv.com,neutral,high,usa,tv station,medium traffic,high credibility
wbtw.com,neutral,high,usa,tv station,medium traffic,high credibility
wcax.com,neutral,high,usa,tv station,high traffic,high credibility
counton2.com,neutral,high,usa,tv station,medium traffic,high credibility
wcia.com,neutral,high,usa,tv station,medium traffic,high credibility
nbc4i.com,neutral,high,usa,tv station,medium traffic,high credibility
wcnc.com,neutral,high,usa,tv station,medium traffic,high credibility
wcpo.com,neutral,high,usa,tv station,high traffic,high credibility
live5news.com,neutral,high,usa,tv station,medium traffic,high credibility
wctv.tv,neutral,high,usa,tv station,medium traffic,high credibility
wcvb.com,neutral,high,usa,tv station,high traffic,high credibility
fox4kc.com,neutral,high,usa,tv station,medium traffic,high credibility
wdam.com,neutral,high,usa,tv station,medium traffic,high credibility
fox40jackson.com,neutral,high,usa,tv station,minimal traffic,high credibility
wdbj7.com,neutral,high,usa,tv station,medium traffic,high credibility
dcnewsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
wdio.com,neutral,high,usa,tv station,medium traffic,high credibility
clickondetroit.com,neutral,high,usa,tv station,high traffic,high credibility
wdrb.com,neutral,high,usa,tv station,medium traffic,high credibility
wdsu.com,neutral,high,usa,tv station,medium traffic,high credibility
wdtn.com,neutral,high,usa,tv station,medium traffic,high credibility
wdtv.com,neutral,high,usa,tv station,medium traffic,high credibility
wearethemighty.com,neutral,high,usa,website,medium traffic,high credibility
wect.com,neutral,high,usa,tv station,medium traffic,high credibility
25newsnow.com,neutral,high,usa,tv station,minimal traffic,high credibility
tristatehomepage.com,neutral,high,usa,tv station,medium traffic,high credibility
weny.com,neutral,high,usa,tv station,minimal traffic,high credibility
wesh.com,neutral,high,usa,tv station,high traffic,high credibility
westernmassnews.com,neutral,high,usa,website,medium traffic,high credibility
westvalleyview.com,neutral,high,usa,newspaper,minimal traffic,high credibility
wvpublic.org,neutral,high,usa,tv station/radio station/website,high traffic,high credibility
mytwintiers.com,neutral,high,usa,tv station,medium traffic,high credibility
wiproud.com,neutral,high,usa,tv station,minimal traffic,high credibility
wevv.com,neutral,high,usa,tv station,medium traffic,high credibility
news5cleveland.com,neutral,high,usa,tv station,high traffic,high credibility
wfaa.com,neutral,high,usa,tv station,high traffic,high credibility
mychamplainvalley.com,neutral,high,usa,tv station,medium traffic,high credibility
wfft.com,neutral,high,usa,tv station,medium traffic,high credibility
14news.com,neutral,high,usa,tv station,medium traffic,high credibility
wfla.com,neutral,high,usa,tv station,high traffic,high credibility
fox32chicago.com,neutral,high,usa,tv station,high traffic,high credibility
wflx.com,neutral,high,usa,tv station,medium traffic,high credibility
wfmynews2.com,neutral,high,usa,tv station,medium traffic,high credibility
wfmz.com,neutral,high,usa,tv station,high traffic,high credibility
wearegreenbay.com,neutral,high,usa,tv station,medium traffic,high credibility
wfsb.com,neutral,high,usa,tv station,high traffic,high credibility
wfxrtv.com,neutral,high,usa,tv station,medium traffic,high credibility
boston25news.com,neutral,high,usa,tv station,medium traffic,high credibility
wgal.com,neutral,high,usa,tv station,high traffic,high credibility
nbc26.com,neutral,high,usa,tv station,minimal traffic,high credibility
cbs46.com,neutral,high,usa,tv station,medium traffic,high credibility
wgem.com,neutral,high,usa,tv station,medium traffic,high credibility
myfox8.com,neutral,high,usa,tv station,medium traffic,high credibility
brproud.com,neutral,high,usa,tv station,medium traffic,high credibility
wgntv.com,neutral,high,usa,tv station,high traffic,high credibility
wgno.com,neutral,high,usa,tv station,medium traffic,high credibility
wtkr.com,neutral,high,usa,tv station,medium traffic,high credibility
wgrz.com,neutral,high,usa,tv station,medium traffic,high credibility
whas11.com,neutral,high,usa,tv station,medium traffic,high credibility
whatculture.com,neutral,high,united kingdom,website,high traffic,high credibility
fox13memphis.com,neutral,high,usa,tv station,medium traffic,high credibility
whec.com,neutral,high,usa,tv station,high traffic,high credibility
whio.com,neutral,high,usa,tv station,high traffic,high credibility
whittierdailynews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
foxcarolina.com,neutral,high,usa,tv station,medium traffic,high credibility
whnt.com,neutral,high,usa,tv station,medium traffic,high credibility
who13.com,neutral,high,usa,tv station,medium traffic,high credibility
whsv.com,neutral,high,usa,tv station,medium traffic,high credibility
abc27.com,neutral,high,usa,tv station,medium traffic,high credibility
cbs42.com,neutral,high,usa,tv station,medium traffic,high credibility
kansas.com,neutral,high,usa,newspaper,medium traffic,high credibility
erienewsnow.com,neutral,high,usa,tv station,medium traffic,high credibility
wicz.com,neutral,high,usa,tv station,medium traffic,high credibility
wilx.com,neutral,high,usa,tv station,medium traffic,high credibility
winknews.com,neutral,high,usa,tv station,medium traffic,high credibility
newschief.com,left-center,high,usa,newspaper,minimal traffic,high credibility
wistv.com,neutral,high,usa,tv station,medium traffic,high credibility
channel3000.com,neutral,high,usa,tv station,high traffic,high credibility
wisn.com,neutral,high,usa,tv station,high traffic,high credibility
fox6now.com,neutral,high,usa,tv station,high traffic,high credibility
witn.com,neutral,high,usa,tv station,medium traffic,high credibility
wivb.com,neutral,high,usa,tv station,medium traffic,high credibility
wjbf.com,neutral,high,usa,tv station,medium traffic,high credibility
wjhg.com,neutral,high,usa,tv station,medium traffic,high credibility
wjhl.com,neutral,high,usa,tv station,medium traffic,high credibility
wjtv.com,neutral,high,usa,tv station,medium traffic,high credibility
fox8.com,neutral,high,usa,tv station,high traffic,high credibility
news4jax.com,neutral,high,usa,tv station,high traffic,high credibility
wkbn.com,neutral,high,usa,tv station,medium traffic,high credibility
news8000.com,neutral,high,usa,tv station,medium traffic,high credibility
wkbw.com,neutral,high,usa,tv station,medium traffic,high credibility
clickorlando.com,neutral,high,usa,tv station,high traffic,high credibility
wkow.com,neutral,high,usa,tv station,medium traffic,high credibility
wkrg.com,neutral,high,usa,tv station,medium traffic,high credibility
wkyc.com,neutral,high,usa,tv station,high traffic,high credibility
wlns.com,neutral,high,usa,tv station,medium traffic,high credibility
wlbt.com,neutral,high,usa,tv station,medium traffic,high credibility
lex18.com,neutral,high,usa,tv station,medium traffic,high credibility
wlfi.com,neutral,high,usa,tv station,medium traffic,high credibility
wlky.com,neutral,high,usa,tv station,medium traffic,high credibility
wlox.com,neutral,high,usa,tv station,medium traffic,high credibility
wltx.com,neutral,high,usa,tv station,medium traffic,high credibility
uppermichiganssource.com,neutral,high,usa,tv station,medium traffic,high credibility
wlwt.com,neutral,high,usa,tv station,high traffic,high credibility
wmar2news.com,neutral,high,usa,tv station,medium traffic,high credibility
centralillinoisproud.com,neutral,high,usa,tv station,medium traffic,high credibility
fox47.com,right-center,high,usa,tv station,medium traffic,high credibility
tv20detroit.com,neutral,high,usa,tv station,minimal traffic,high credibility
cbs17.com,neutral,high,usa,tv station,medium traffic,high credibility
wnct.com,neutral,high,usa,tv station,medium traffic,high credibility
wndu.com,neutral,high,usa,tv station,medium traffic,high credibility
wnem.com,neutral,high,usa,tv station,medium traffic,high credibility
wnyt.com,neutral,high,usa,tv station,medium traffic,high credibility
fox5ny.com,neutral,high,usa,tv station,high traffic,high credibility
wogx.com,neutral,high,usa,tv station,high traffic,high credibility
hometownstations.com,neutral,high,usa,tv station,medium traffic,high credibility
weareiowa.com,neutral,high,usa,tv station,medium traffic,high credibility
cleveland19.com,neutral,high,usa,tv station,medium traffic,high credibility
woodtv.com,neutral,high,usa,tv station,medium traffic,high credibility
spectrumnews1.com,neutral,high,usa,tv station,medium traffic,high credibility
wowktv.com,neutral,high,usa,tv station,medium traffic,high credibility
wowt.com,neutral,high,usa,tv station,medium traffic,high credibility
wpbf.com,neutral,high,usa,tv station,medium traffic,high credibility
phl17.com,neutral,high,usa,tv station,medium traffic,high credibility
fox43.com,neutral,high,usa,tv station,medium traffic,high credibility
mynbc5.com,neutral,high,usa,tv station,medium traffic,high credibility
wqad.com,neutral,high,usa,tv station,medium traffic,high credibility
mystateline.com,neutral,high,usa,tv station,medium traffic,high credibility
wrex.com,neutral,high,usa,tv station,medium traffic,high credibility
wrtv.com,neutral,high,usa,tv station,medium traffic,high credibility
wsfltv.com,neutral,high,usa,tv station,minimal traffic,high credibility
wsoctv.com,neutral,high,usa,tv station,high traffic,high credibility
localsyr.com,neutral,high,usa,tv station,medium traffic,high credibility
fox61.com,neutral,high,usa,tv station,medium traffic,high credibility
tmj4.com,neutral,high,usa,tv station,medium traffic,high credibility
wtsp.com,neutral,high,usa,tv station,medium traffic,high credibility
wtvm.com,neutral,high,usa,tv station,medium traffic,high credibility
fox13news.com,neutral,high,usa,tv station,high traffic,high credibility
wtvy.com,neutral,high,usa,tv station,medium traffic,high credibility
wikinews.org,neutral,high,usa,website,medium traffic,high credibility
wikipedia.org,neutral,mixed,usa,organization/foundation,high traffic,medium credibility
winnipegfreepress.com,neutral,high,canada,newspaper,high traffic,high credibility
winonadailynews.com,neutral,high,usa,newspaper,minimal traffic,high credibility
journalnow.com,neutral,high,usa,newspaper,medium traffic,high credibility
wionews.com,neutral,mixed,india,website,medium traffic,medium credibility
madison.com,neutral,high,usa,newspaper,medium traffic,high credibility
fox2detroit.com,neutral,high,usa,tv station,high traffic,high credibility
fox46.com,neutral,high,usa,tv station,medium traffic,high credibility
wkrn.com,neutral,high,usa,tv station,medium traffic,high credibility
wvlt.tv,neutral,high,usa,tv station,medium traffic,high credibility
raleighcw.com,neutral,high,usa,tv station,medium traffic,high credibility
13wmaz.com,neutral,high,usa,tv station,medium traffic,high credibility
actionnews5.com,neutral,high,usa,tv station,medium traffic,high credibility
wmtw.com,neutral,high,usa,tv station,medium traffic,high credibility
wmur.com,neutral,high,usa,tv station,high traffic,high credibility
wnep.com,neutral,high,usa,tv station,medium traffic,high credibility
fox35orlando.com,neutral,high,usa,tv station,high traffic,high credibility
dailydemocrat.com,neutral,high,usa,newspaper,minimal traffic,high credibility
worldometers.info,neutral,high,usa,website,high traffic,high credibility
worldpoliticsreview.com,left-center,high,usa,website,medium traffic,high credibility
worldpopulationreview.com,neutral,mixed,usa,website,high traffic,high credibility
pix11.com,neutral,high,usa,tv station,high traffic,high credibility
wpri.com,neutral,high,usa,tv station,medium traffic,high credibility
wpta21.com,neutral,high,usa (44/180 press freedom),tv station,medium traffic,high credibility
wpxi.com,neutral,high,usa,tv station,medium traffic,high credibility
wqow.com,neutral,high,usa,tv station,medium traffic,high credibility
wral.com,left-center,high,usa,tv station,high traffic,high credibility
wrbl.com,neutral,high,usa,tv station,medium traffic,high credibility
wrdw.com,neutral,high,usa,tv station,medium traffic,high credibility
wreg.com,neutral,high,usa,tv station,medium traffic,high credibility
wric.com,neutral,high,usa,tv station,medium traffic,high credibility
rochesterfirst.com,neutral,high,usa,tv station,medium traffic,high credibility
wsav.com,neutral,high,usa,tv station,medium traffic,high credibility
wsaz.com,neutral,high,usa,tv station,high traffic,high credibility
wsbtv.com,neutral,high,usa,tv station,high traffic,high credibility
wsfa.com,neutral,high,usa,tv station,medium traffic,high credibility
wsiltv.com,neutral,high,usa,tv station,medium traffic,high credibility
wsls.com,neutral,high,usa,tv station,medium traffic,high credibility
wsmv.com,neutral,high,usa,tv station,medium traffic,high credibility
wspa.com,neutral,high,usa,tv station,medium traffic,high credibility
fox47news.com,neutral,high,usa,tv station,minimal traffic,high credibility
wtae.com,neutral,high,usa,tv station,high traffic,high credibility
wearecentralpa.com,neutral,high,usa,tv station,medium traffic,high credibility
wtap.com,neutral,high,usa,tv station,medium traffic,high credibility
news10.com,neutral,high,usa,tv station,medium traffic,high credibility
wthitv.com,neutral,high,usa,tv station,medium traffic,high credibility
wthr.com,neutral,high,usa,tv station,high traffic,high credibility
wtnh.com,neutral,high,usa,tv station,medium traffic,high credibility
wtok.com,neutral,high,usa,tv station,medium traffic,high credibility
wtol.com,neutral,high,usa,tv station,medium traffic,high credibility
fox5dc.com,neutral,high,usa,tv station,high traffic,high credibility
cbs4indy.com,neutral,high,usa,tv station,medium traffic,high credibility
wtva.com,neutral,high,usa,tv station,medium traffic,high credibility
newschannel5.com,neutral,high,usa,tv station,medium traffic,high credibility
13abc.com,neutral,high,usa,tv station,medium traffic,high credibility
fox29.com,neutral,high,usa,tv station,medium traffic,high credibility
wusa9.com,neutral,high,usa,tv station,medium traffic,high credibility
13newsnow.com,neutral,high,usa,website,medium traffic,high credibility
nbc29.com,neutral,high,usa,tv station,medium traffic,high credibility
wvtm13.com,neutral,high,usa,tv station,medium traffic,high credibility
fox8live.com,neutral,high,usa,tv station,medium traffic,high credibility
wvva.com,neutral,high,usa,tv station,high traffic,high credibility
nbc12.com,neutral,high,usa,tv station,medium traffic,high credibility
wwlp.com,neutral,high,usa,tv station,medium traffic,high credibility
wwnytv.com,neutral,high,usa,tv station,medium traffic,high credibility
my9nj.com,neutral,high,usa,tv station,minimal traffic,high credibility
mysuncoast.com,neutral,high,usa,tv station,medium traffic,high credibility
11alive.com,neutral,high,usa,website,medium traffic,high credibility
wxii12.com,neutral,high,usa,tv station,medium traffic,high credibility
fox59.com,neutral,high,usa,tv station,medium traffic,high credibility
fox19.com,neutral,high,usa,tv station,medium traffic,high credibility
fox17online.com,neutral,high,usa,tv station,medium traffic,high credibility
wwltv.com,neutral,high,usa,tv station,medium traffic,high credibility
wxow.com,neutral,high,usa,tv station,medium traffic,high credibility
wxyz.com,neutral,high,usa,tv station,high traffic,high credibility
wyff4.com,neutral,high,usa,tv station,high traffic,high credibility
wymt.com,neutral,high,usa,tv station,medium traffic,high credibility
wytv.com,neutral,high,usa,tv station,minimal traffic,high credibility
rocketcitynow.com,neutral,high,usa,tv station,medium traffic,high credibility
wzmq19.com,neutral,high,usa,tv station,minimal traffic,high credibility
wzzm13.com,neutral,high,usa,tv station,medium traffic,high credibility
yle.fi,neutral,mixed,finland,tv station/radio/website,high traffic,high credibility
yorknewstimes.com,neutral,high,usa,newspaper,minimal traffic,high credibility
zdnet.com,neutral,high,usa,website,high traffic,high credibility
accountable.us,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
act.tv,left,mixed,usa,website,minimal traffic,medium credibility
aftonbladet.se,left,mixed,sweden,newspaper,high traffic,medium credibility
aldianews.com,left,mixed,usa,website,medium traffic,medium credibility
afj.org,left,high,usa,organization/foundation,minimal traffic,high credibility
altnews.in,left,high,india,website,medium traffic,high credibility
alternet.org,left,mixed,usa,website,medium traffic,medium credibility
aidc.org.za,left,high,south africa,magazine,minimal traffic,high credibility
americanbridgepac.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
americanoversight.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
au.org,left,high,usa,organization/foundation,minimal traffic,high credibility
angrywhitemen.org,left,mixed,usa,website,minimal traffic,medium credibility
azmirror.com,left,high,usa,organization/foundation,medium traffic,high credibility
arkansasadvocate.com,left,high,usa,organization/foundation,minimal traffic,high credibility
attackthesystem.com,left,mixed,usa,website,minimal traffic,medium credibility
autostraddle.com,left-center,high,usa,magazine,medium traffic,high credibility
ebar.com,left,high,usa,newspaper,minimal traffic,high credibility
beingliberal.org,left,mixed,usa,website,medium traffic,medium credibility
billmoyers.com,left,mixed,usa,website,minimal traffic,medium credibility
bitchmedia.org,left,high,usa,magazine,medium traffic,high credibility
blackagendareport.com,left,mixed,usa,website,medium traffic,medium credibility
blackamericaweb.com,left,mixed,usa,website,mediumtraffic,medium credibility
blacklivesmatter.com,left,mixed,usa,organization/foundation,medium traffic,medium credibility
blackmainstreet.net,left,mixed,usa,website,minimal traffic,medium credibility
bnc.tv,left,mixed,usa,tv station,minimal traffic,medium credibility
boingboing.net,left,mixed,usa,website,high traffic,medium credibility
bostonreview.net,left,high,usa,magazine,medium traffic,high credibility
brut.media,left,mixed,france,website,medium traffic,medium credibility
bust.com,left,mixed,usa,magazine,medium traffic,medium credibility
calltoactivism.com,left,mixed,usa,website,high traffic (social media),medium credibility
canadafactcheck.ca,left,mixed,canada,website,medium traffic,medium credibility
antihate.ca,left,high,canada,organization/foundation,minimal traffic,high credibility
canadiandimension.com,left,mixed,canada,magazine,minimal traffic,medium credibility
capitalandmain.com,left,high,usa,website,minimal traffic,high credibility
care2.com,left,mixed,usa,website,medium traffic,medium credibility
ceasefiremagazine.co.uk,left,high,united kingdom,magazine,minimal traffic,high credibility
americanprogress.org,left,mixed,usa,organization/foundation,medium traffic,medium credibility
prwatch.org,left,high,usa,organization/foundation,minimal traffic,high credibility
c4ss.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
change.org,left,mixed,usa,organization/foundation,high traffic,medium credibility
chicagoreader.com,left,high,usa,newspaper,medium traffic,high credibility
chicagoreporter.com,left,high,usa,magazine,minimal traffic,high credibility
china.org.cn,left-center,mixed,china,website,medium traffic,medium credibility
citybeat.com,left,high,usa,newspaper,medium traffic,high credibility
citizencritics.org,left,mixed,usa,website,minimal traffic,medium credibility
clevescene.com,left,high,usa,newspaper,medium traffic,high credibility
climatechangenews.com,left,high,united kingdom,website,medium traffic,high credibility
cnn.com,left,mixed,usa,tv station,high traffic,medium credibility
codepink.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
coloradotimesrecorder.com,left,high,usa,website,minimal traffic,high credibility
colorlines.com,left,high,usa,website,medium,high credibility
columbusfreepress.com,left,mixed,usa,newspaper,minimal traffic,medium credibility
comicsands.com,left,mixed,usa,website,high traffic,medium credibility
commondreams.org,left,high,usa,website,medium traffic,high credibility
communemag.com,left,mixed,usa,magazine,minimal traffic,medium credibility
consortiumnews.com,left,mixed,usa,website,medium traffic,high credibility
copblock.org,left,mixed,usa,website,minimal traffic,medium credibility
cosmopolitan.com,left,mixed,usa,magazine,high traffic,medium credibility
countercurrents.org,left,mixed,india,website,medium traffic,high credibility
counterpunch.org,left,mixed,usa,magazine,medium traffic,high credibility
crikey.com.au,left,high,australia,website,medium traffic,high credibility
crimethinc.com,left,high,usa,organization/foundation,medium traffic,high credibility
crooked.com,left,mixed,usa,website,medium traffic,medium credibility
crooksandliars.com,left,mixed,usa,website,minimal traffic,high credibility
currentaffairs.org,left,high,usa,magazine,medium traffic,high credibility
curvemag.com,left,high,usa,magazine,medium traffic,high credibility
thedailybeast.com,left,mixed,usa,website,high traffic,medium credibility
dailydot.com,left,high,usa,website,high traffic,high credibility
dailykos.com,left,mixed,usa,website,high traffic,medium credibility
dailyrecord.co.uk,left,mixed,united kingdom,newspaper,high traffic,high credibility
dailysoundandfury.com,left,mixed,usa,website,minimal traffic,medium credibility
dallasvoice.com,left,high,usa,newspaper,minimal traffic,high credibility
deadstate.org,left,high,usa,website,medium traffic,high credibility
deadspin.com,left-center,high,usa,website,medium traffic,high credibility
democracyguardian.com,left,mixed,usa,website,minimal traffic,medium credibility
democracyjournal.org,left,high,usa,journal,minimal traffic,high credibility
democracynow.org,left,high,usa,tv station; radio,medium traffic,high credibility
democraticunderground.com,left,mixed,usa,website,high traffic,medium credibility
deshabhimani.com,left,mixed,india,newspaper,medium traffic,medium credibility
desmogblog.com,left,high,usa,organization/foundation,minimal traffic,high credibility
metrotimes.com,left,high,usa,newspaper,medium traffic,high credibility
dissentmagazine.org,left,high,usa,website,minimal traffic,high credibility
drudge.com,left,mixed,usa,website,minimal traffic,medium credibility
earthfirstjournal.news,left,mixed,usa,website,minimal traffic,medium credibility
ecowatch.com,left,mixed,usa,website,medium traffic,medium credibility
egbertowillies.com,left,high,usa,website,minimal traffic,high credibility
electoral-vote.com,left,high,netherlands,website,minimal traffic,high credibility
elitedaily.com,left,mixed,usa,website,high traffic,medium credibility
esquire.com,left,mixed,usa,magazine,high traffic,medium credibility
everydayfeminism.com,left,mixed,usa,website,minimal traffic,medium credibility
evonomics.com,left,high,usa,website,minimal traffic,high credibility
feministcurrent.com,left,mixed,canada,website,minimal traffic,medium credibility
fifthestate.org,left,high,usa,magazine,minimal traffic,high credibility
finnishnews.fi,left,mixed,finland,website,minimal traffic,high credibility
floridaphoenix.com,left,high,usa,organization/foundation,minimal traffic,high credibility
foodandwaterwatch.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
foreignpolicynews.org,left,mixed,usa,website,minimal traffic,medium credibility
freepress.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
ffrf.org,left,mixed,usa,organization/foundation,medium traffic,medium credibility
freedomnews.org.uk,left,high,united kingdom,website,minimal traffic,high credibility
frontpagelive.com,left,mixed,usa,website,minimal traffic,medium credibility
freespeech.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
gawker.com,left,mixed,usa,website,medium traffic,medium credibility
gaycitynews.com,left,high,usa,newspaper,minimal traffic,high credibility
gaystarnews.com,left,mixed,united kingdom,website,medium traffic,medium credibility
gaytimes.co.uk,left,high,united kingdom,magazine,medium traffic,high credibility
geopoliticsalert.com,left,mixed,usa,website,minimal traffic,medium credibility
georgiarecorder.com,left,high,usa,organization/foundation,minimal traffic,high credibility
giffords.org,left,high,usa,organization/foundation,medium traffic,high credibility
gizmodo.com,left,high,usa,website,high traffic,high credibility
glaad.org,left,high,usa,organization/foundation,medium traffic,high credibility
good.is,left,high,usa,website,minimal traffic,high credibility
gq.com,left,high,usa,magazine,high traffic,high credibility
bradford-delong.com,left,high,usa,website,minimal traffic,high credibility
greenleft.org.au,left,high,australia,website,minimal traffic,medium credibility
guardianlv.com,left,mixed,usa,website,minimal traffic,high credibility
haaretz.com,left,high,israel,newspaper,high traffic,high credibility
harpersbazaar.com,left,mixed,usa,magazine,high traffic,high credibility
hightimes.com,left,mixed,usa,magazine,medium traffic,medium credibility
hillreporter.com,left,high,usa,website,medium traffic,high credibility
huffpost.com,left,mixed,usa,website,high traffic,medium credibility
hrc.org,left,high,usa,organization/foundation,medium traffic,high credibility
marxist.com,left,mixed,united kingdom,organization/foundation,medium traffic,medium credibility
inthesetimes.com,left,mixed,usa,organization/foundation,medium traffic,medium credibility
alligator.org,left,high,usa,newspaper,minimal traffic,high credibility
indivisible.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
inequalitymedia.org,left,high,usa,organization/foundation,minimal traffic,high credibility
juancole.com,left,mixed,usa,website,minimal traffic,medium credibility
ips-dc.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
intpolicydigest.org,left,high,usa,website,minimal traffic,high credibility
internationalviewpoint.org,left,mixed,united kingdom,magazine,minimal traffic,low credibility
iowacapitaldispatch.com,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
jacobinmag.com,left,high,usa,magazine,medium traffic,high credibility
jezebel.com,left,high,usa,website,high traffic,high credibility
junkee.com,left,mixed,australia,website,medium traffic,high credibility
kansasreflector.com,left,high,usa,organization/foundation,minimal traffic,high credibility
laweekly.com,left,mixed,usa,newspaper,medium traffic,medium credibility
lailluminator.com,left,high,usa,organization/foundation,minimal traffic,high credibility
mg.co.za,left,mixed,south africa,website,medium traffic,medium credibility
mediamatters.org,left,high,usa,organization/foundation,medium traffic,high credibility
mediaite.com,left,mixed,usa,website,high traffic,high credibility
meduza.io,left,high,latvia,website,high traffic,high credibility
meidastouch.com,left,mixed,usa,website,minimal traffic,medium credibility
michiganadvance.com,left,high,usa,organization/foundation,minimal traffic,high credibility
milwaukeeindependent.com,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
missouriindependent.com,left,high,usa,organization/foundation,medium traffic,high credibility
nebraskaexaminer.com,left,high,usa,organization/foundation,medium traffic,high credibility
newjerseymonitor.com,left,high,usa,organization/foundation,minimal traffic,high credibility
newrepublic.com,left,high,usa,magazine,medium traffic,high credibility
nymag.com,left,high,usa,magazine,high traffic,high credibility
newyorker.com,left,high,usa,magazine,high traffic,high credibility
novaramedia.com,left,mixed,united kingdom,organization/foundation,medium traffic,medium credibility
nowtoronto.com,left,high,canada,magazine,medium traffic,high credibility
ohiocapitaljournal.com,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
opensocietyfoundations.org,left,mixed,usa,organization/foundation,medium traffic,medium credibility
orlandoweekly.com,left,high,usa,newspaper,medium traffic,high credibility
out.com,left,mixed,usa,magazine,medium traffic,medium credibility
palmerreport.com,left,mixed,usa,website,medium traffic,medium credibility
penncapital-star.com,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
pinacnews.com,left,high,usa,website,minimal traffic,high credibility
polinews.org,left,mixed,usa,website,medium traffic,medium credibility
politicususa.com,left,high,usa,website,medium traffic,high credibility
popular.info,left,high,usa,website,minimal traffic,high credibility
boldprogressives.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
psyche.co,left,high,australia,website,medium traffic,high credibility
rawstory.com,left,mixed,usa,website,high traffic,medium credibility
therealnews.com,left,high,usa,organization/foundation,medium traffic,high credibility
resolutesquare.com,left,high,usa,website,minimal traffic,high credibility
rollingstone.com,left,high,usa,magazine,high traffic,high credibility
salon.com,left,mixed,usa,website,high traffic,medium credibility
sfbayview.com,left,mixed,usa,website,medium traffic,medium credibility
shondaland.com,left,mixed,usa,website,medium traffic,medium credibility
slate.com,left,mixed,usa,website,high traffic,high credibility
readsludge.com,left,high,usa,website,minimal traffic,high credibility
worldsocialism.org,left,mixed,united kingdom,organization/foundation,minimal traffic,medium credibility
southdakotasearchlight.com,left,high,usa,organization/foundation,minimal traffic,high credibility
splcenter.org,left,high,usa,organization/foundation,medium traffic,high credibility
riverfronttimes.com,left,high,usa,newspaper,medium traffic,high credibility
talkingpointsmemo.com,left,mixed,usa,website,high traffic,high credibility
tnholler.com,left,high,usa,website,minimal traffic,high credibility
tennesseelookout.com,left,high,usa,organization/foundation,minimal traffic,high credibility
19thnews.org,left,high,usa,organization/foundation,medium traffic,high credibility
americanindependent.com,left,mixed,usa,organization/foundation,medium traffic,medium credibility
prospect.org,left,high,usa,magazine,medium traffic,high credibility
thecut.com,left,mixed,usa,website,high traffic,high credibility
democratichub.com,left,mixed,usa,website,minimal traffic,medium credibility
thegailygrind.com,left,mixed,usa,website,minimal traffic,medium credibility
ghionjournal.com,left,mixed,usa,website,minimal traffic,medium credibility
goodmenproject.com,left,high,usa,website,medium traffic,high credibility
gravelinstitute.org,left,mixed,usa,organization/foundation,minimal traffic,medium credibility
mavenroundtable.io,left,mixed,usa,website,minimal traffic,medium credibility
levernews.com,left,high,usa,website,minimal traffic,high credibility
thelily.com,left,high,usa,website,medium traffic,high credibility
themilitant.com,left,mixed,usa,newspaper,minimal traffic,medium credibility
thenarwhal.ca,left,high,canada,organization/foundation,minimal traffic,high credibility
thenation.com,left,high,usa,magazine,medium traffic,high credibility
palestinechronicle.com,left,high,usa,organization/foundation,minimal traffic,high credibility
phnompenhpost.com,left,mixed,cambodia,newspaper,medium traffic,medium credibility
progressive.org,left,mixed,usa,magazine,medium traffic,high credibility
theroot.com,left,mixed,usa,website,high traffic,high credibility
thelasource.com,left,mixed,canada,newspaper,minimal traffic,medium credibility
thestranger.com,left-center,high,usa,newspaper,medium traffic,high credibility
texasobserver.org,left,high,usa,magazine,minimal traffic,high credibility
villagevoice.com,left,high,usa,newspaper,medium traffic,high credibility
voice-online.co.uk,left,mixed,united kingdom,newspaper,medium traffic,high credibility
thewalrus.ca,left,high,canada,organization/foundation,medium traffic,high credibility
washingtonspectator.org,left,high,usa,organization/foundation,minimal traffic,high credibility
